FLOPs,Time
2240000,0.0154
3360000,0.0154
4480000,0.0154
5600000,0.0154
6720000,0.0164
7840000,0.0164
8960000,0.0164
10080000,0.0164
11200000,0.0174
11200,0.0082
22400,0.0123
33600,0.0133
44800,0.0133
56000,0.0133
67200,0.0133
78400,0.0133
89600,0.0133
100800,0.0133
112000,0.0133
224000,0.0133
336000,0.0133
448000,0.0133
560000,0.0143
672000,0.0143
784000,0.0143
896000,0.0143
1008000,0.0143
1120000,0.0143
2240000,0.0153
3360000,0.0154
4480000,0.0154
5600000,0.0164
6720000,0.0154
7840000,0.0164
8960000,0.0164
10080000,0.0174
11200000,0.0174
12800,0.0082
25600,0.0133
38400,0.0143
51200,0.0143
64000,0.0143
76800,0.0143
89600,0.0143
102400,0.0143
115200,0.0143
128000,0.0143
256000,0.0143
384000,0.0144
512000,0.0154
640000,0.0154
768000,0.0154
896000,0.0154
1024000,0.0154
1152000,0.0154
1280000,0.0154
2560000,0.0164
3840000,0.0164
5120000,0.0164
6400000,0.0174
7680000,0.0174
8960000,0.0174
10240000,0.0174
11520000,0.0184
12800000,0.0184
12800,0.0082
25600,0.0143
38400,0.0143
51200,0.0143
64000,0.0143
76800,0.0143
89600,0.0143
102400,0.0143
115200,0.0143
128000,0.0143
256000,0.0143
384000,0.0143
512000,0.0154
640000,0.0154
768000,0.0154
896000,0.0154
1024000,0.0154
1152000,0.0154
1280000,0.0154
2560000,0.0164
3840000,0.0164
5120000,0.0164
6400000,0.0164
7680000,0.0174
8960000,0.0174
10240000,0.0184
11520000,0.0184
12800000,0.0184
14400,0.0082
28800,0.0143
43200,0.0143
57600,0.0143
72000,0.0154
86400,0.0154
100800,0.0154
115200,0.0154
129600,0.0143
144000,0.0143
288000,0.0154
432000,0.0154
576000,0.0154
720000,0.0154
864000,0.0164
1008000,0.0164
1152000,0.0164
1296000,0.0164
1440000,0.0164
2880000,0.0174
4320000,0.0174
5760000,0.0174
7200000,0.0174
8640000,0.0174
10080000,0.0184
11520000,0.0184
12960000,0.0195
14400000,0.0205
14400,0.0082
28800,0.0143
43200,0.0143
57600,0.0154
72000,0.0154
86400,0.0154
100800,0.0154
115200,0.0154
129600,0.0143
144000,0.0143
288000,0.0154
432000,0.0154
576000,0.0164
720000,0.0164
864000,0.0164
1008000,0.0164
1152000,0.0164
1296000,0.0164
1440000,0.0164
2880000,0.0174
4320000,0.0174
5760000,0.0174
7200000,0.0174
8640000,0.0174
10080000,0.0184
11520000,0.0184
12960000,0.0195
14400000,0.0205
16000,0.0082
32000,0.0164
48000,0.0164
64000,0.0164
80000,0.0164
96000,0.0164
112000,0.0174
128000,0.0174
144000,0.0164
160000,0.0164
320000,0.0164
480000,0.0164
640000,0.0164
800000,0.0174
960000,0.0174
1120000,0.0174
1280000,0.0174
1440000,0.0174
1600000,0.0174
3200000,0.0184
4800000,0.0184
6400000,0.0184
8000000,0.0184
9600000,0.0195
11200000,0.0195
12800000,0.0215
14400000,0.0215
16000000,0.0225
16000,0.0082
32000,0.0164
48000,0.0164
64000,0.0164
80000,0.0164
96000,0.0164
112000,0.0174
128000,0.0174
144000,0.0164
160000,0.0164
320000,0.0164
480000,0.0174
640000,0.0174
800000,0.0174
960000,0.0174
1120000,0.0174
1280000,0.0174
1440000,0.0174
1600000,0.0184
3200000,0.0184
4800000,0.0184
6400000,0.0195
